# Original source data from: https://www.kaggle.com/datasets/maryanalyze/tables-on-transistor-count-wikipedia-page/data
Name,Transistor Count,Year,Manufacturer,Process,Area,Source File
"Xenon (64-bit, 128-bit SIMD, large cache)",165000000,2005,IBM,90 nm,?,Transistor_count_2.csv
"Pentium 4 Prescott-2M (32-bit, large cache)",169000000,2005,Intel,90 nm,143 mm2,Transistor_count_2.csv
"Cell (32-bit, cache)",250000000,2005,Sony/IBM/Toshiba,90 nm,221 mm2,Transistor_count_2.csv
"Pentium D Smithfield (64-bit, large cache)",228000000,2005,Intel,90 nm,206 mm2,Transistor_count_2.csv
?,17179869184,2005,Samsung,50 nm,?,Transistor_count_6.csv
?,34359738368,2006,Samsung,40 nm,?,Transistor_count_6.csv
"Pentium 4 Cedar Mill (32-bit, large cache)",184000000,2006,Intel,65 nm,90 mm2,Transistor_count_2.csv
"Pentium D Presler (64-bit, large cache)",362000000,2006,Intel,65 nm,162 mm2,Transistor_count_2.csv
"Core 2 Duo Conroe (dual-core 64-bit, large caches)",291000000,2006,Intel,65 nm,143 mm2,Transistor_count_2.csv
"Dual-core Itanium 2 (64-bit, SIMD, large caches)",1700000000,2006,Intel,90 nm,596 mm2,Transistor_count_2.csv
R580,384000000,2006,ATI,90 nm,352 mm2,Transistor_count_3.csv
G71,278000000,2006,Nvidia,90 nm,196 mm2,Transistor_count_3.csv
,1100000000,2006,Xilinx,65 nm,,Transistor_count_4.csv
G80,681000000,2006,Nvidia,90 nm,480 mm2,Transistor_count_3.csv
RV560,330000000,2006,ATI,80 nm,230 mm2,Transistor_count_3.csv
G72,112000000,2006,Nvidia,90 nm,81 mm2,Transistor_count_3.csv
G73,177000000,2006,Nvidia,90 nm,125 mm2,Transistor_count_3.csv
G86 Tesla,210000000,2007,Nvidia,80 nm,127 mm2,Transistor_count_3.csv
G84 Tesla,289000000,2007,Nvidia,80 nm,169 mm2,Transistor_count_3.csv
RV610,180000000,2007,ATI,65 nm,85 mm2,Transistor_count_3.csv
R600,700000000,2007,ATI,80 nm,420 mm2,Transistor_count_3.csv
G92,754000000,2007,Nvidia,65 nm,324 mm2,Transistor_count_3.csv
RV630,390000000,2007,ATI,65 nm,153 mm2,Transistor_count_3.csv
"AMD K10 quad-core 2M L3 (64-bit, large caches)",463000000,2007,AMD,65 nm,283 mm2,Transistor_count_2.csv
"ARM Cortex-A9 (32-bit, (optional) SIMD, caches)",26000000,2007,ARM,45 nm,31 mm2,Transistor_count_2.csv
"Core 2 Duo Wolfdale (dual-core 64-bit, SIMD, caches)",411000000,2007,Intel,45 nm,107 mm2,Transistor_count_2.csv
"POWER6 (64-bit, large caches)",789000000,2007,IBM,65 nm,341 mm2,Transistor_count_2.csv
"Core 2 Duo Allendale (dual-core 64-bit, SIMD, large caches)",169000000,2007,Intel,65 nm,111 mm2,Transistor_count_2.csv
Uniphier,250000000,2007,Matsushita,45 nm,?,Transistor_count_2.csv
"SPARC64 VI (64-bit, SIMD, large caches)",540000000,2007,Fujitsu,90 nm,421 mm2,Transistor_count_2.csv
THGAM,128000000000,2007,Toshiba,56 nm,252 mm2,Transistor_count_6.csv
RV790,959000000,2008,ATI,55 nm,282 mm2,Transistor_count_3.csv
RV770,956000000,2008,ATI,55 nm,256 mm2,Transistor_count_3.csv
G94b Tesla,505000000,2008,Nvidia,55 nm,196 mm2,Transistor_count_3.csv
G92b Tesla,754000000,2008,Nvidia,55 nm,260 mm2,Transistor_count_3.csv
GT200b Tesla,1400000000,2008,Nvidia,55 nm,470 mm2,Transistor_count_3.csv
G96b Tesla,314000000,2008,Nvidia,55 nm,121 mm2,Transistor_count_3.csv
THGBM,256000000000,2008,Toshiba,43 nm,353 mm2,Transistor_count_6.csv
?,8589934592,2008,Samsung,50 nm,?,Transistor_count_5.csv
RV670,666000000,2008,ATI,55 nm,192 mm2,Transistor_count_3.csv
RV730,514000000,2008,ATI,55 nm,146 mm2,Transistor_count_3.csv
?,17179869184,2008,Samsung,50 nm,?,Transistor_count_5.csv
RV635,378000000,2008,ATI,55 nm,135 mm2,Transistor_count_3.csv
"Core 2 Duo Wolfdale 3M (dual-core 64-bit, SIMD, large caches)",230000000,2008,Intel,45 nm,83 mm2,Transistor_count_2.csv
"Core i7 (quad-core 64-bit, SIMD, large caches)",731000000,2008,Intel,45 nm,263 mm2,Transistor_count_2.csv
"AMD K10 quad-core 6M L3 (64-bit, SIMD, large caches)",758000000,2008,AMD,45 nm,258 mm2,Transistor_count_2.csv
"Atom (32-bit, large cache)",47000000,2008,Intel,45 nm,24 mm2,Transistor_count_2.csv
,2500000000,2008,Altera,40 nm,,Transistor_count_4.csv
